ASIN,Brand,Title,Retail_Price_USD,Deal_Price_USD,Discount_Percent,Canonical_Deal_URL,Last_Verified_At
B0G4NJY979,"Steve Madden","Steve Madden Womens X-Back Ring Front Swim Bralette Top, Chloette Orchid, Medium",66.00,6.75,90,https://thefashiondeals.com/deal/steve-madden-womens-x-back-ring-front-swim-bralette-top-chloette-orchid-medium-b0g4njy979?utm_source=weekly_index_csv,"2026-09-21 02:28:49"
B0G4V25PH9,ENSARJOE,"100-Pack Black Frame One-Lens Sunglasses (60 Black/Grey,20 Black/Silvery,20 Black/Pink) Wholesale Bulk Party",99.00,9.99,90,https://thefashiondeals.com/deal/100-pack-black-frame-one-lens-sunglasses-60-blackgrey20-blacksilvery20-blackpink-wholesale-bulk-party-b0g4v25ph9?utm_source=weekly_index_csv,"2026-09-20 21:00:44"
B07F1SK4DJ,OLEVS,"OLEVS Men's Black Leather Watch – Ultra‑Thin 6.5mm Minimalist Dress & Casual Waterproof Date Watch",328.00,33.77,90,https://thefashiondeals.com/deal/olevs-men-leather-watches-black-ultra-thin-65mm-minimalist-dress-fashion-simple-casual-waterproof-date-watch-for-men-b07f1sk4dj?utm_source=weekly_index_csv,"2026-09-20 21:00:45"
B0GST6SF52,OLEVS,"OLEVS Automatic Watch for Men Mechanical Self Winding Watches Luxury Stainless Steel Luminous Waterproof Calendar Mens Watch Silver Black",988.00,108.00,89,https://thefashiondeals.com/deal/olevs-automatic-watch-for-men-mechanical-self-winding-watches-luxury-stainless-s-b0gst6sf52?utm_source=weekly_index_csv,"2026-09-20 21:00:45"
B08N6R6CK6,G-STAR,"3301 Straight Tapered Fit Jeans, Faded Bullit, 35W x 36L",180.00,21.45,88,https://thefashiondeals.com/deal/3301-straight-tapered-fit-jeans-faded-bullit-35w-x-36l-b08n6r6ck6?utm_source=weekly_index_csv,"2026-09-21 01:58:47"
B0DF85ZMLN,Trimshaper,"Trimshaper Womens Double Tier Ronnie Swim Tankini Top with Fully Lined Back and Bra Support, Serapikat, 18",60.00,7.41,88,https://thefashiondeals.com/deal/trimshaper-womens-double-tier-ronnie-swim-tankini-top-with-fully-lined-back-and-bra-support-serapikat-18-b0df85zmln?utm_source=weekly_index_csv,"2026-09-20 21:00:45"
B0DSJB3DY6,OLEVS,"OLEVS Watch Men Luxury Silver Stainless Steel Dress Wrist Analog Quartz Waterproof Watches for Men Fashion Luminous Nice Large Face Minimalist Mens Watches Relojes para Hombres",368.00,43.77,88,https://thefashiondeals.com/deal/olevs-watch-men-luxury-silver-stainless-steel-dress-wrist-analog-quartz-waterpro-b0dsjb3dy6?utm_source=weekly_index_csv,"2026-09-20 21:00:45"
B0BK11BV64,OLEVS,"OLEVS Men's Diamond Business Dress Watch – Stainless Steel Waterproof Two‑Tone Analog Quartz with Luminous Date – Blue Luxury Casual Wristwatch",368.00,43.77,88,https://thefashiondeals.com/deal/olevs-watch-for-men-diamond-business-dress-analog-quartz-stainless-steel-waterproof-luminous-date-two-tone-luxury-casual-b0bk11bv64?utm_source=weekly_index_csv,"2026-09-20 21:00:45"
B0FSHYHMYL,Everlane,"Everlane The Way-High Hourglass Jean (27 1/2"" Inseam) - Vintage Indigo 23",128.00,17.01,87,https://thefashiondeals.com/deal/everlane-the-way-high-hourglass-jean-27-12-inseam-vintage-indigo-23-b0fshyhmyl?utm_source=weekly_index_csv,"2026-09-21 02:26:40"
B0FBT8PQG3,Columbia,"Columbia Men's Collegiate Backcast III Printed Short",60.00,7.80,87,https://thefashiondeals.com/deal/columbia-mens-collegiate-backcast-iii-printed-short-b0fbt8pqg3?utm_source=weekly_index_csv,"2026-09-20 21:00:49"
